,jyoCd,Kyori,TrackCD,LR,taikei_0,taikei_1,taikei_2,taikei_3,taikei_4,taikei_5,taikei_10,taikei_11,taikei_12,taikei_13,taikei_14,taikei_15
368,06,1200,2,1,2,2,2,2,1,1,2,1,2,2,2,3
369,06,1200,2,1,2,2,2,2,2,1,2,2,2,2,2,2
370,06,1200,2,1,2,2,2,2,2,2,2,1,2,1,2,2
371,06,1200,2,1,2,2,2,2,2,1,2,2,2,2,3,3
372,06,1200,2,1,2,3,2,2,2,1,2,1,3,3,2,2
373,06,1200,2,1,3,3,3,2,2,1,2,1,3,3,2,2
374,06,1200,1,1,2,2,2,2,2,1,2,1,0,0,2,2
375,06,1200,1,1,2,3,3,3,3,3,3,2,3,3,2,2
376,06,1200,1,1,3,3,3,2,2,1,2,2,2,2,3,3
377,06,1200,1,1,2,3,3,2,2,1,3,2,3,3,3,3
378,06,1200,1,1,3,3,3,2,2,1,3,2,2,2,2,3
379,06,1200,1,1,0,3,3,2,2,1,2,2,2,2,3,3
380,06,1200,1,1,2,2,2,3,2,2,2,1,0,0,2,2
381,06,1200,1,1,2,3,3,3,2,2,3,2,3,3,2,2
382,06,1200,1,1,2,3,2,3,2,2,2,2,2,1,2,2
383,06,1200,1,1,2,3,3,3,2,2,2,1,0,0,2,3
384,06,1200,1,1,2,3,2,2,2,1,2,1,3,3,3,3
385,07,3330,3,9,2,3,2,3,2,1,3,2,2,1,3,3
386,07,3330,3,9,3,3,3,2,2,1,3,2,1,2,3,3
387,07,3330,3,9,2,3,2,2,2,2,2,1,2,2,2,3
388,07,3330,3,9,2,3,2,2,2,2,2,1,0,0,2,2
