íÖèá,înàÛ2,înàÛ3,înàÛ4,înàÛ5,înàÛ6,înàÛ7,înàÛ8,ògÉRÅ[ÉX,ògãRéË,ògí≤ã≥ét
0,0,0,4,1,0,0,0,14.6,10.4,9.8
0,5,0,1,1,0,0,0,14.5,0,6.6
0,0,1,1,1,0,0,1,14.6,8.6,18.7
0,0,0,1,1,0,0,0,14.4,9.5,4.6
0,0,0,1,1,0,0,0,17,17.7,16.6
0,3,0,1,1,0,0,1,12.8,3.9,0
0,0,0,1,1,0,1,0,14.4,8.2,13.1
1,0,2,3,1,4,5,0,14.1,24.5,0
1,5,0,4,1,2,0,0,15.8,13.7,11.1
1,0,4,4,1,3,4,0,14.1,12.5,4.1
0,0,5,1,2,5,3,0,17.5,17,20.5
0,0,0,2,1,0,0,0,15,0,14.8
0,0,0,1,1,0,1,0,15.4,6.2,8.6
0,0,1,1,1,1,0,1,16.4,4.1,23.8
0,0,3,1,2,1,1,1,17.5,10,9
0,0,1,2,1,0,2,0,16.4,5.1,6.8
0,0,0,1,1,0,0,0,19,7.7,12.5
0,0,0,1,1,0,0,0,15.6,6.8,4.1
0,0,0,1,1,0,0,1,15.4,9.5,6.5
1,5,3,1,1,4,0,0,13.9,18.6,20
1,0,0,1,2,2,1,0,15.8,9.7,0
1,1,0,1,1,0,0,0,13.3,10.1,9.3
0,0,1,1,1,3,3,0,13.7,5.5,12.1
0,5,4,1,1,1,1,1,14.7,17.5,4.3
0,0,0,1,1,5,0,0,13.7,3.5,11.4
0,0,0,1,1,0,0,0,15.8,13.9,0
0,0,0,1,1,0,0,0,12,10,16.6
0,0,0,2,1,0,0,0,11.2,9.7,5.4
0,0,5,1,1,1,4,1,17.6,0,0
0,0,1,1,1,0,2,0,14.7,12.5,0
0,0,0,1,1,0,0,0,11.2,10.8,3.7
0,3,0,1,1,0,0,0,17.6,12.9,11.1
0,0,2,1,1,0,5,1,13.3,17.6,2.7
0,0,0,1,2,0,0,0,12,7.8,11.1
0,0,0,1,1,0,0,0,13.9,6.6,6
1,0,4,4,3,5,4,0,17.3,33.3,5.1
1,0,5,1,1,4,5,0,13.4,8.2,19.4
1,0,0,1,1,0,0,0,16.1,8.6,4.1
0,0,2,1,1,1,3,0,16,15.2,19
0,0,0,1,1,1,0,0,13.5,2.5,11.1
0,0,0,1,1,2,0,1,17.3,4,17.3
0,0,0,1,1,3,1,0,13.4,13.4,10.1
0,0,3,1,1,0,2,1,16.1,10.4,10.5
0,0,1,4,1,0,0,0,16.8,19.5,19.5
0,0,0,1,1,0,0,0,13.5,16.1,9.8
0,0,0,1,1,0,0,0,13.4,12.3,15
0,0,0,1,1,0,0,1,11.5,10.4,3
0,0,0,1,1,0,0,0,16,5.9,6.8
0,0,0,1,1,0,0,0,16.8,0,0
0,0,1,4,1,0,1,0,13.4,4.3,3
1,0,4,2,2,4,4,0,16.9,40.5,24.6
1,5,5,0,3,5,5,0,15,29.7,33.3
1,0,2,1,1,1,2,1,17.3,9.2,6.1
0,3,1,1,1,3,3,0,16.6,10.3,8
0,0,1,1,1,0,0,1,16.9,11.1,8.6
0,0,0,1,1,1,0,0,15,6.3,13.6
0,0,0,4,1,0,0,0,19.6,5.7,7.4
0,3,3,1,1,2,1,1,16.9,11.5,6.3
0,0,0,4,1,0,0,0,17.7,8.7,16.6
0,0,0,3,1,0,1,0,16.9,18,11.3
0,0,0,4,1,0,0,0,15.5,0,0
1,0,1,4,1,4,1,0,14.2,16.6,12.5
1,0,0,3,1,0,0,0,12.9,12.9,11.1
1,0,5,2,1,1,2,0,12.3,11.1,15.1
0,3,3,1,1,5,5,0,15.3,34.2,14
0,3,2,4,1,3,3,0,12.7,14.2,10.7
0,5,0,1,1,0,0,1,16.4,7.6,20.4
0,3,4,1,1,0,1,0,14.2,20.9,11.5
0,3,1,1,1,2,0,0,16.6,17,11.6
0,0,0,1,1,0,0,0,12,7.2,13.5
0,3,0,1,3,1,4,1,16.6,31.5,13.6
0,0,0,3,1,0,0,1,15.3,18.3,13
0,0,0,1,1,0,0,0,16.4,6.8,14.6
1,0,4,1,1,4,1,0,13.5,5,6.1
1,5,2,3,1,1,3,0,16.8,30.9,19.2
1,3,1,1,3,0,2,0,14.4,20.1,9.3
1,0,1,1,1,2,1,0,15.2,11.2,12.5
0,0,0,1,1,0,0,0,16.8,12.6,16
0,0,0,1,1,0,0,0,17.8,13.1,14.7
0,0,0,1,1,3,0,1,15.2,9.3,8.6
0,3,0,1,2,1,4,1,17.1,10.3,17.2
0,0,3,1,1,0,0,0,13.5,11.6,9.6
0,0,5,1,1,5,5,0,15,36.3,27.2
0,5,0,1,1,0,0,1,14.4,8.1,11.9
